2023-06-10 00:35:52 [Thread-60] INFO  : Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-06-10 00:35:52 [Thread-60] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-06-10 00:35:52 [Thread-60] INFO  : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2023-06-10 00:35:52 [Thread-60] INFO  : HikariPool-16 - Shutdown initiated...
2023-06-10 00:35:52 [Thread-60] INFO  : HikariPool-16 - Shutdown completed.
2023-06-10 00:35:52 [restartedMain] INFO  : Starting ServiceApplication using Java 18.0.1.1 with PID 19916 (D:\Programming\PERSONAL_PROJECT\BE\SERVICE\service\target\classes started by 62851 in D:\Programming\PERSONAL_PROJECT\BE\SERVICE\service)
2023-06-10 00:35:52 [restartedMain] INFO  : No active profile set, falling back to 1 default profile: "default"
2023-06-10 00:35:53 [restartedMain] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-06-10 00:35:53 [restartedMain] INFO  : Finished Spring Data repository scanning in 51 ms. Found 8 JPA repository interfaces.
2023-06-10 00:35:53 [restartedMain] INFO  : Tomcat initialized with port(s): 1707 (http)
2023-06-10 00:35:53 [restartedMain] INFO  : Starting service [Tomcat]
2023-06-10 00:35:53 [restartedMain] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-10 00:35:53 [restartedMain] INFO  : Initializing Spring embedded WebApplicationContext
2023-06-10 00:35:53 [restartedMain] INFO  : Root WebApplicationContext: initialization completed in 737 ms
2023-06-10 00:35:53 [restartedMain] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-06-10 00:35:53 [restartedMain] INFO  : HHH000021: Bytecode provider name : bytebuddy
2023-06-10 00:35:53 [restartedMain] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2023-06-10 00:35:53 [restartedMain] INFO  : HHH035001: Using dialect: org.hibernate.dialect.PostgreSQLDialect, version: 10.0
2023-06-10 00:35:53 [restartedMain] INFO  : HHH000021: Bytecode provider name : bytebuddy
2023-06-10 00:35:53 [restartedMain] INFO  : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-06-10 00:35:53 [restartedMain] INFO  : HikariPool-17 - Starting...
2023-06-10 00:35:53 [restartedMain] INFO  : HikariPool-17 - Added connection org.postgresql.jdbc.PgConnection@22f9637c
2023-06-10 00:35:53 [restartedMain] INFO  : HikariPool-17 - Start completed.
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:53 [restartedMain] WARN  : relation "m_workflow_group" does not exist, skipping
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:53 [restartedMain] WARN  : relation "m_workflow_group" does not exist, skipping
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:53 [restartedMain] WARN  : relation "m_workflow_group_condition" does not exist, skipping
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:53 [restartedMain] WARN  : relation "m_workflow_group_condition" does not exist, skipping
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:53 [restartedMain] WARN  : relation "m_workflow_group_condition" does not exist, skipping
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:53 [restartedMain] WARN  : table "m_group" does not exist, skipping
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:53 [restartedMain] WARN  : table "m_roles" does not exist, skipping
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:53 [restartedMain] WARN  : table "m_type" does not exist, skipping
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:53 [restartedMain] WARN  : table "m_user" does not exist, skipping
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:53 [restartedMain] WARN  : table "m_workflow" does not exist, skipping
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:53 [restartedMain] WARN  : table "m_workflow_group" does not exist, skipping
2023-06-10 00:35:53 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
